Channel              :,CH1
Frequency            :,  ?
Period               :,  ?
PK-PK                :,228.0mV
Average              :,83.11mV
Vertical pos         :,1.000000mV
Probe attenuation    :,1X
Voltage per ADC value:,0.015625mV
Time interval        :,0.00800uS

index,CH1_Voltage(mV)
1,192.000000
2,188.000000
3,188.000000
4,192.000000
5,196.000000
6,192.000000
7,188.000000
8,192.000000
9,196.000000
10,192.000000
11,192.000000
12,188.000000
13,192.000000
14,192.000000
15,192.000000
16,188.000000
17,192.000000
18,192.000000
19,192.000000
20,188.000000
21,192.000000
22,196.000000
23,192.000000
24,192.000000
25,192.000000
26,192.000000
27,196.000000
28,192.000000
29,192.000000
30,196.000000
31,192.000000
32,188.000000
33,192.000000
34,184.000000
35,188.000000
36,188.000000
37,180.000000
38,192.000000
39,184.000000
40,184.000000
41,188.000000
42,184.000000
43,192.000000
44,188.000000
45,184.000000
46,188.000000
47,188.000000
48,192.000000
49,192.000000
50,188.000000
51,188.000000
52,188.000000
53,192.000000
54,196.000000
55,192.000000
56,192.000000
57,192.000000
58,188.000000
59,192.000000
60,188.000000
61,192.000000
62,188.000000
63,188.000000
64,192.000000
65,188.000000
66,188.000000
67,192.000000
68,188.000000
69,192.000000
70,192.000000
71,192.000000
72,188.000000
73,192.000000
74,192.000000
75,188.000000
76,184.000000
77,192.000000
78,188.000000
79,188.000000
80,188.000000
81,196.000000
82,196.000000
83,200.000000
84,196.000000
85,196.000000
86,196.000000
87,196.000000
88,196.000000
89,196.000000
90,196.000000
91,200.000000
92,200.000000
93,196.000000
94,200.000000
95,204.000000
96,200.000000
97,196.000000
98,200.000000
99,204.000000
100,204.000000
101,204.000000
102,208.000000
103,212.000000
104,208.000000
105,212.000000
106,212.000000
107,212.000000
108,216.000000
109,216.000000
110,212.000000
111,212.000000
112,208.000000
113,212.000000
114,212.000000
115,212.000000
116,212.000000
117,212.000000
118,212.000000
119,216.000000
120,212.000000
121,216.000000
122,212.000000
123,216.000000
124,212.000000
125,212.000000
126,212.000000
127,208.000000
128,208.000000
129,212.000000
130,212.000000
131,212.000000
132,208.000000
133,208.000000
134,212.000000
135,212.000000
136,208.000000
137,208.000000
138,208.000000
139,212.000000
140,208.000000
141,212.000000
142,212.000000
143,212.000000
144,208.000000
145,204.000000
146,204.000000
147,204.000000
148,200.000000
149,200.000000
150,200.000000
151,200.000000
152,200.000000
153,200.000000
154,200.000000
155,208.000000
156,208.000000
157,204.000000
158,208.000000
159,208.000000
160,208.000000
161,204.000000
162,208.000000
163,212.000000
164,212.000000
165,208.000000
166,208.000000
167,208.000000
168,204.000000
169,208.000000
170,204.000000
171,208.000000
172,204.000000
173,208.000000
174,208.000000
175,216.000000
176,212.000000
177,204.000000
178,200.000000
179,200.000000
180,200.000000
181,204.000000
182,204.000000
183,200.000000
184,196.000000
185,196.000000
186,204.000000
187,204.000000
188,200.000000
189,204.000000
190,212.000000
191,216.000000
192,212.000000
193,212.000000
194,216.000000
195,216.000000
196,216.000000
197,216.000000
198,208.000000
199,204.000000
200,200.000000
201,200.000000
202,200.000000
203,204.000000
204,196.000000
205,200.000000
206,204.000000
207,208.000000
208,208.000000
209,204.000000
210,208.000000
211,216.000000
212,212.000000
213,208.000000
214,204.000000
215,208.000000
216,204.000000
217,204.000000
218,204.000000
219,208.000000
220,208.000000
221,208.000000
222,208.000000
223,208.000000
224,208.000000
225,204.000000
226,208.000000
227,208.000000
228,208.000000
229,204.000000
230,200.000000
231,204.000000
232,200.000000
233,204.000000
234,204.000000
235,204.000000
236,200.000000
237,208.000000
238,212.000000
239,212.000000
240,208.000000
241,212.000000
242,212.000000
243,212.000000
244,208.000000
245,208.000000
246,204.000000
247,204.000000
248,200.000000
249,200.000000
250,204.000000
251,204.000000
252,204.000000
253,204.000000
254,204.000000
255,208.000000
256,204.000000
257,200.000000
258,200.000000
259,204.000000
260,200.000000
261,196.000000
262,196.000000
263,200.000000
264,196.000000
265,192.000000
266,196.000000
267,196.000000
268,196.000000
269,192.000000
270,196.000000
271,196.000000
272,196.000000
273,200.000000
274,200.000000
275,204.000000
276,204.000000
277,200.000000
278,200.000000
279,204.000000
280,204.000000
281,200.000000
282,200.000000
283,204.000000
284,204.000000
285,204.000000
286,204.000000
287,204.000000
288,204.000000
289,208.000000
290,204.000000
291,208.000000
292,204.000000
293,208.000000
294,204.000000
295,204.000000
296,204.000000
297,208.000000
298,204.000000
299,208.000000
300,208.000000
301,204.000000
302,204.000000
303,208.000000
304,204.000000
305,208.000000
306,208.000000
307,208.000000
308,204.000000
309,204.000000
310,208.000000
311,204.000000
312,200.000000
313,200.000000
314,200.000000
315,200.000000
316,200.000000
317,200.000000
318,204.000000
319,204.000000
320,200.000000
321,200.000000
322,196.000000
323,200.000000
324,200.000000
325,196.000000
326,196.000000
327,200.000000
328,200.000000
329,196.000000
330,196.000000
331,204.000000
332,200.000000
333,196.000000
334,196.000000
335,200.000000
336,204.000000
337,200.000000
338,200.000000
339,204.000000
340,204.000000
341,204.000000
342,200.000000
343,200.000000
344,200.000000
345,200.000000
346,200.000000
347,200.000000
348,200.000000
349,196.000000
350,196.000000
351,196.000000
352,200.000000
353,196.000000
354,196.000000
355,192.000000
356,192.000000
357,196.000000
358,192.000000
359,192.000000
360,188.000000
361,192.000000
362,192.000000
363,192.000000
364,196.000000
365,196.000000
366,196.000000
367,196.000000
368,192.000000
369,192.000000
370,192.000000
371,188.000000
372,188.000000
373,188.000000
374,192.000000
375,192.000000
376,192.000000
377,192.000000
378,196.000000
379,196.000000
380,192.000000
381,192.000000
382,192.000000
383,196.000000
384,192.000000
385,196.000000
386,192.000000
387,200.000000
388,196.000000
389,196.000000
390,192.000000
391,196.000000
392,200.000000
393,196.000000
394,192.000000
395,200.000000
396,200.000000
397,196.000000
398,196.000000
399,200.000000
400,200.000000
401,196.000000
402,200.000000
403,200.000000
404,200.000000
405,200.000000
406,200.000000
407,200.000000
408,192.000000
409,188.000000
410,180.000000
411,196.000000
412,200.000000
413,220.000000
414,204.000000
415,200.000000
416,204.000000
417,216.000000
418,212.000000
419,208.000000
420,208.000000
421,204.000000
422,200.000000
423,200.000000
424,196.000000
425,188.000000
426,184.000000
427,192.000000
428,188.000000
429,188.000000
430,184.000000
431,188.000000
432,192.000000
433,204.000000
434,204.000000
435,204.000000
436,204.000000
437,204.000000
438,208.000000
439,208.000000
440,200.000000
441,196.000000
442,192.000000
443,196.000000
444,196.000000
445,196.000000
446,192.000000
447,196.000000
448,196.000000
449,196.000000
450,200.000000
451,200.000000
452,200.000000
453,196.000000
454,196.000000
455,200.000000
456,200.000000
457,196.000000
458,192.000000
459,196.000000
460,200.000000
461,200.000000
462,196.000000
463,204.000000
464,204.000000
465,208.000000
466,208.000000
467,208.000000
468,208.000000
469,208.000000
470,200.000000
471,200.000000
472,196.000000
473,196.000000
474,192.000000
475,192.000000
476,192.000000
477,196.000000
478,196.000000
479,196.000000
480,200.000000
481,204.000000
482,204.000000
483,204.000000
484,208.000000
485,208.000000
486,204.000000
487,200.000000
488,200.000000
489,200.000000
490,192.000000
491,200.000000
492,192.000000
493,192.000000
494,192.000000
495,196.000000
496,192.000000
497,196.000000
498,196.000000
499,200.000000
500,204.000000
501,204.000000
502,200.000000
503,200.000000
504,204.000000
505,204.000000
506,200.000000
507,200.000000
508,200.000000
509,200.000000
510,200.000000
511,200.000000
512,200.000000
513,200.000000
514,200.000000
515,204.000000
516,204.000000
517,204.000000
518,200.000000
519,204.000000
520,204.000000
521,208.000000
522,204.000000
523,200.000000
524,204.000000
525,204.000000
526,204.000000
527,200.000000
528,204.000000
529,204.000000
530,204.000000
531,204.000000
532,204.000000
533,204.000000
534,200.000000
535,204.000000
536,200.000000
537,204.000000
538,200.000000
539,200.000000
540,200.000000
541,204.000000
542,204.000000
543,204.000000
544,200.000000
545,204.000000
546,204.000000
547,204.000000
548,200.000000
549,200.000000
550,204.000000
551,200.000000
552,200.000000
553,204.000000
554,204.000000
555,204.000000
556,204.000000
557,208.000000
558,204.000000
559,208.000000
560,208.000000
561,204.000000
562,204.000000
563,208.000000
564,208.000000
565,204.000000
566,200.000000
567,204.000000
568,204.000000
569,204.000000
570,200.000000
571,200.000000
572,200.000000
573,208.000000
574,204.000000
575,204.000000
576,204.000000
577,208.000000
578,204.000000
579,208.000000
580,208.000000
581,208.000000
582,204.000000
583,204.000000
584,204.000000
585,208.000000
586,208.000000
587,204.000000
588,208.000000
589,208.000000
590,208.000000
591,208.000000
592,204.000000
593,208.000000
594,208.000000
595,204.000000
596,204.000000
597,208.000000
598,204.000000
599,204.000000
600,204.000000
601,204.000000
602,204.000000
603,204.000000
604,208.000000
605,208.000000
606,208.000000
607,212.000000
608,208.000000
609,208.000000
610,204.000000
611,208.000000
612,204.000000
613,208.000000
614,204.000000
615,204.000000
616,200.000000
617,204.000000
618,204.000000
619,208.000000
620,204.000000
621,208.000000
622,208.000000
623,208.000000
624,208.000000
625,212.000000
626,208.000000
627,212.000000
628,212.000000
629,216.000000
630,212.000000
631,208.000000
632,208.000000
633,208.000000
634,208.000000
635,208.000000
636,208.000000
637,208.000000
638,208.000000
639,208.000000
640,212.000000
641,216.000000
642,212.000000
643,216.000000
644,216.000000
645,220.000000
646,216.000000
647,216.000000
648,212.000000
649,216.000000
650,212.000000
