Channel              :,CH1
Frequency            :,  ?
Period               :,  ?
PK-PK                :,516.0mV?
Average              :,55.81mV?
Vertical pos         :,1.000000mV
Probe attenuation    :,1X
Voltage per ADC value:,0.015625mV
Time interval        :,0.10000uS

index,CH1_Voltage(mV)
648,0.000000
649,4.000000
650,4.000000
651,0.000000
652,0.000000
653,0.000000
654,0.000000
655,4.000000
656,4.000000
657,4.000000
658,0.000000
659,4.000000
660,0.000000
661,0.000000
662,4.000000
663,0.000000
664,0.000000
665,0.000000
666,4.000000
667,4.000000
668,0.000000
669,0.000000
670,4.000000
671,0.000000
672,4.000000
673,4.000000
674,4.000000
675,8.000000
676,4.000000
677,0.000000
678,0.000000
679,4.000000
680,0.000000
681,4.000000
682,4.000000
683,4.000000
684,0.000000
685,0.000000
686,0.000000
687,4.000000
688,4.000000
689,0.000000
690,4.000000
691,0.000000
692,4.000000
693,4.000000
694,0.000000
695,4.000000
696,0.000000
697,0.000000
698,4.000000
699,4.000000
700,0.000000
701,4.000000
702,4.000000
703,4.000000
704,4.000000
705,0.000000
706,4.000000
707,0.000000
708,4.000000
709,0.000000
710,4.000000
711,4.000000
712,0.000000
713,0.000000
714,4.000000
715,4.000000
716,0.000000
717,0.000000
718,0.000000
719,4.000000
720,0.000000
721,4.000000
722,0.000000
723,4.000000
724,4.000000
725,4.000000
726,4.000000
727,0.000000
728,4.000000
729,0.000000
730,4.000000
731,4.000000
732,0.000000
733,0.000000
734,0.000000
735,0.000000
736,4.000000
737,4.000000
738,0.000000
739,4.000000
740,0.000000
741,4.000000
742,0.000000
743,0.000000
744,-4.000000
745,4.000000
746,0.000000
747,8.000000
748,0.000000
749,4.000000
750,4.000000
751,0.000000
752,0.000000
753,4.000000
754,4.000000
755,4.000000
756,4.000000
757,4.000000
758,4.000000
759,0.000000
760,0.000000
761,4.000000
762,4.000000
763,4.000000
764,0.000000
765,0.000000
766,4.000000
767,4.000000
768,4.000000
769,4.000000
770,0.000000
771,0.000000
772,4.000000
773,0.000000
774,0.000000
775,4.000000
776,0.000000
777,0.000000
778,0.000000
779,4.000000
780,0.000000
781,0.000000
782,4.000000
783,4.000000
784,4.000000
785,0.000000
786,0.000000
787,0.000000
788,0.000000
789,0.000000
790,4.000000
791,4.000000
792,4.000000
793,4.000000
794,4.000000
795,0.000000
796,0.000000
797,0.000000
798,4.000000
799,4.000000
800,0.000000
801,0.000000
802,0.000000
803,4.000000
804,0.000000
805,0.000000
806,0.000000
807,0.000000
808,0.000000
809,0.000000
810,4.000000
811,0.000000
812,4.000000
813,4.000000
814,4.000000
815,4.000000
816,0.000000
817,0.000000
818,0.000000
819,4.000000
820,0.000000
821,4.000000
822,4.000000
823,0.000000
824,4.000000
825,0.000000
826,4.000000
827,4.000000
828,0.000000
829,0.000000
830,4.000000
831,4.000000
832,0.000000
833,0.000000
834,0.000000
835,4.000000
836,0.000000
837,0.000000
838,4.000000
839,4.000000
840,0.000000
841,4.000000
842,0.000000
843,0.000000
844,0.000000
845,0.000000
846,0.000000
847,4.000000
848,4.000000
849,0.000000
850,4.000000
851,-4.000000
852,0.000000
853,4.000000
854,4.000000
855,4.000000
856,4.000000
857,0.000000
858,4.000000
859,4.000000
860,0.000000
861,0.000000
862,0.000000
863,0.000000
864,0.000000
865,4.000000
866,0.000000
867,8.000000
868,0.000000
869,8.000000
870,4.000000
